,To_0,To_1,To_2,To_3,To_4,To_5,To_6,To_7,To_8,To_9,To_10,To_11,To_12,To_13,To_14,To_15,To_16,To_17,To_18,To_19,To_20,To_21,To_22,To_23,To_24,To_25,To_26,To_27
From_0,4,0,0,4,9,0,5,2,0,0,1,0,2,2,1,1,0,0,14,4,0,9,0,1,20,1,3,1
From_1,0,46,0,0,4,0,3,3,0,0,0,1,0,3,12,1,0,1,14,0,0,4,0,2,16,2,5,0
From_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From_3,47,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,1,0,0
From_4,1,10,0,1,138,20,13,9,7,0,7,4,16,15,2,3,0,6,29,25,4,7,9,6,36,16,28,3
From_5,0,4,0,0,19,15,4,2,2,0,1,0,4,1,0,0,0,2,7,2,1,0,0,1,4,2,7,0
From_6,1,5,0,0,14,7,34,15,2,1,1,0,3,2,2,0,0,5,2,17,0,2,0,6,9,5,7,1
From_7,0,5,0,0,10,2,5,92,5,0,2,0,12,1,2,0,0,0,5,59,3,8,2,6,12,21,12,0
From_8,0,2,0,0,10,2,10,5,7,0,1,0,2,2,1,0,0,0,0,6,0,1,3,0,9,6,5,1
From_9,0,0,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
From_10,0,0,0,0,6,3,4,2,0,0,1,1,3,2,0,1,0,1,4,2,0,0,3,2,2,0,1,0
From_11,0,0,0,0,2,2,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1
From_12,1,11,0,0,11,1,3,6,5,1,3,0,9,6,0,1,0,0,7,19,1,6,5,5,17,4,12,2
From_13,3,8,0,0,6,1,0,1,0,1,1,0,4,10,0,1,0,0,6,9,0,1,3,1,2,2,1,0
From_14,0,3,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,1,10,1,2,0
From_15,0,0,0,1,1,3,1,0,0,0,1,0,1,0,2,3,0,0,2,0,0,1,0,0,0,0,0,0
From_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From_17,1,0,0,0,9,2,2,0,0,0,4,1,4,0,0,1,0,4,4,0,0,0,0,1,4,0,2,1
From_18,2,3,0,0,39,7,4,2,1,0,5,2,5,2,0,1,0,3,59,16,2,13,1,6,26,5,10,3
From_19,0,8,0,0,33,4,11,53,11,2,1,1,20,5,1,1,0,6,11,149,13,56,12,46,60,14,41,2
From_20,0,0,0,0,3,1,2,0,1,0,0,0,2,0,0,1,0,2,1,7,5,2,0,4,11,0,9,0
From_21,0,0,0,0,6,0,5,10,1,0,2,0,4,2,0,0,0,0,12,34,5,26,1,8,43,3,8,1
From_22,0,4,0,0,11,1,0,4,6,0,1,0,6,0,0,0,0,0,1,14,0,2,21,2,11,1,12,0
From_23,0,3,0,0,9,0,4,22,3,0,1,1,6,0,0,1,0,0,10,28,1,7,1,37,19,3,8,0
From_24,1,5,0,1,33,3,22,13,3,0,3,1,14,1,2,3,0,6,15,91,8,19,16,21,247,4,93,10
From_25,0,1,0,0,17,0,5,8,3,2,0,0,5,7,0,0,0,1,5,16,1,1,5,3,10,21,35,0
From_26,0,1,0,0,27,4,4,15,15,1,3,1,15,3,1,1,0,3,11,56,8,4,15,11,66,35,118,9
From_27,0,0,0,0,9,0,1,1,0,0,0,0,2,0,0,0,0,0,3,7,0,1,0,0,5,0,6,3
